block_no	trial_no	trainOrTest	pan	SNR-BaseRate	signal	response	response_type	balance	RT
2	6	0	-3.0945376e-002	1	1	2	2	1340	153
2	11	0	-5.0582716e-002	1	2	1	4	1340	181
2	33	0	-8.021741e-002	1	2	2	3	1340	141
2	22	0	-0.21068423	1	2	2	3	1340	81
2	2	0	9.765242e-003	1	1	2	2	1340	428
2	27	0	-0.1285789	1	2	2	3	1340	151
2	9	0	9.268331e-002	1	1	1	1	1340	144
2	19	0	-9.121081e-002	1	2	2	3	1340	155
2	25	0	-0.17861721	1	2	2	3	1340	289
2	8	0	-9.2640705e-002	1	1	2	2	1340	271
2	38	0	5.8558144e-002	1	2	1	4	1340	134
2	17	0	-0.18529907	1	2	2	3	1340	361
2	5	0	0.2232881	1	1	1	1	1340	112
2	34	0	-0.11515204	1	2	2	3	1340	45
2	31	0	-6.1858604e-002	1	2	2	3	1340	216
2	24	0	1.58632914e-002	1	2	1	4	1340	135
2	39	0	-1.9487214e-002	1	2	2	3	1340	316
2	26	0	-0.10371892	1	2	2	3	1340	62
2	21	0	-6.4512137e-002	1	2	2	3	1340	74
2	35	0	-9.448697e-002	1	2	2	3	1340	152
2	29	0	-0.14399174	1	2	2	3	1340	45
2	28	0	-8.611639e-002	1	2	2	3	1340	132
2	18	0	-0.17755996	1	2	2	3	1340	145
2	13	0	7.9767248e-002	1	2	1	4	1340	169
2	3	0	0.10512992	1	1	1	1	1340	403
2	12	0	-9.947766e-002	1	2	2	3	1340	273
2	7	0	0.10137587	1	1	1	1	1340	226
2	10	0	0.15843111	1	1	1	1	1340	143
2	4	0	0.11524129	1	1	1	1	1340	124
2	30	0	-0.15153235	1	2	2	3	1340	201
2	20	0	-4.5457741e-002	1	2	2	3	1340	120
2	37	0	-0.14541422	1	2	2	3	1340	58
2	32	0	-0.11025944	1	2	2	3	1340	225
2	23	0	7.2571169e-002	1	2	1	4	1340	274
2	15	0	-0.15557957	1	2	2	3	1340	188
2	36	0	-5.8592861e-002	1	2	2	3	1340	173
2	1	0	0.13742491	1	1	1	1	1340	103
2	237	1	-0.12647478	1	2	2	3	1350	221
2	180	1	-1.3914392e-002	1	2	2	3	1360	155
2	194	1	-0.16407	1	2	2	3	1370	84
2	100	1	-6.6440169e-002	1	2	2	3	1380	66
2	161	1	-0.23995276	1	2	2	3	1390	31
2	56	1	-1.87223016e-002	1	1	2	2	1390	652
2	164	1	-7.579729e-003	1	2	1	4	1390	201
2	211	1	-6.1741038e-002	1	2	2	3	1400	32
2	238	1	-5.0379918e-002	1	2	2	3	1410	112
2	53	1	0.10688596	1	1	1	1	1420	89
2	232	1	2.1388343e-002	1	2	1	4	1420	139
2	205	1	-8.863923e-002	1	2	2	3	1430	91
2	140	1	-0.11276937	1	2	2	3	1440	22
2	73	1	0.20561678	1	1	1	1	1450	84
2	65	1	0.12235998	1	1	1	1	1460	282
2	107	1	-0.1243666	1	2	2	3	1470	140
2	81	1	0.13546373	1	1	1	1	1480	117
2	230	1	-0.10315608	1	2	2	3	1490	141
2	234	1	-4.8431489e-002	1	2	2	3	1500	233
2	226	1	-6.6638926e-002	1	2	2	3	1510	497
2	108	1	-0.2426538	1	2	2	3	1520	148
2	83	1	7.4931581e-002	1	1	1	1	1530	182
2	67	1	-0.13245676	1	1	2	2	1530	191
2	184	1	9.5070022e-002	1	2	1	4	1530	105
2	138	1	-0.2065754	1	2	2	3	1540	101
2	58	1	-8.2229968e-002	1	1	2	2	1540	67
2	132	1	2.097516e-003	1	2	1	4	1540	495
2	96	1	-3.0717281e-002	1	2	2	3	1550	134
2	189	1	-0.22935492	1	2	2	3	1560	9
2	181	1	-0.22336936	1	2	2	3	1570	52
2	57	1	0.1167608	1	1	1	1	1580	134
2	112	1	-0.13856206	1	2	2	3	1590	127
2	131	1	5.6276522e-002	1	2	1	4	1590	396
2	152	1	-0.18230851	1	2	2	3	1600	28
2	91	1	-2.5833749e-002	1	2	2	3	1610	375
2	147	1	5.7217995e-002	1	2	1	4	1610	237
2	216	1	-0.22553607	1	2	2	3	1620	128
2	89	1	0.20575957	1	1	1	1	1630	153
2	71	1	0.1769565	1	1	1	1	1640	65
2	190	1	-9.47965e-002	1	2	2	3	1650	115
2	127	1	-8.18266e-002	1	2	2	3	1660	117
2	177	1	-3.9695567e-002	1	2	2	3	1670	103
2	236	1	-0.17140585	1	2	2	3	1680	107
2	165	1	-8.860457e-002	1	2	2	3	1690	70
2	77	1	0.2005195	1	1	1	1	1700	274
2	99	1	-0.2619451	1	2	2	3	1710	217
2	66	1	2.990766e-002	1	1	1	1	1720	236
2	114	1	-9.17377e-002	1	2	2	3	1730	190
2	128	1	-0.19904368	1	2	2	3	1740	36
2	62	1	0.10701127	1	1	1	1	1750	251
2	123	1	-9.276445e-002	1	2	2	3	1760	161
2	169	1	-6.9477721e-002	1	2	2	3	1770	56
2	52	1	0.12948384	1	1	1	1	1780	83
2	240	1	-0.13638567	1	2	2	3	1790	698
2	136	1	5.339716e-003	1	2	2	3	1800	101
2	195	1	4.6778117e-002	1	2	1	4	1800	133
2	167	1	-6.1497218e-002	1	2	2	3	1810	76
2	178	1	-8.766e-002	1	2	2	3	1820	137
2	201	1	-0.14238256	1	2	2	3	1830	116
2	50	1	9.36665e-002	1	1	1	1	1840	144
2	160	1	-0.1797452	1	2	2	3	1850	122
2	118	1	-0.12959388	1	2	2	3	1860	100
2	60	1	0.18579424	1	1	1	1	1870	431
2	90	1	-3.8415584e-002	1	1	2	2	1870	115
2	200	1	6.9739405e-002	1	2	1	4	1870	728
2	210	1	-9.085665e-002	1	2	2	3	1880	128
2	70	1	0.10848033	1	1	2	2	1880	548
2	125	1	-9.284788e-002	1	2	2	3	1890	176
2	221	1	-2.1989522e-002	1	2	1	4	1890	532
2	109	1	-0.13331681	1	2	2	3	1900	980
2	41	1	8.026644e-002	1	1	1	1	1910	972
2	120	1	-4.6069594e-002	1	2	2	3	1920	108
2	80	1	0.34928842	1	1	1	1	1930	302
